Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,12.171074,2.514818,10.497670,2.479669,12.113726,2.768311,10.019441,2.442577,11.218481,2.572853,11.240286,2.657057,11.895914,2.864419,10.396977,2.718175,10.188715,2.804491,11.742324,2.760580,9.079341,2.860881,12.706601,2.745186,10.438050,2.887516,11.163393,2.782136,11.943269,3.088145,10.449664,2.943907,10.865181,3.121262,10.784692,3.085723,9.613012,3.013889,9.837185,3.048937,12.193791,-3.084017,12.359750,-2.984839,9.914691,-3.100354,9.831312,-3.109572,10.722119,-3.012376,11.353991,-2.811586,10.325786,-2.978150,11.497690,-2.964595,10.358188,-2.851213,11.336151,-2.853699,10.743547,-2.938184,10.317875,-2.774375,-24.362144
0.100000,0.000000,8.226423,2.931837,7.815055,3.133397,8.175991,3.119042,7.842396,2.958505,8.331201,3.086303,8.565739,3.122624,7.864501,-2.959218,6.836811,-3.051524,7.562516,-2.987511,7.846344,-2.996898,7.742335,-2.933079,6.971920,-2.898112,8.019456,-2.800306,8.349780,-2.831672,7.441732,-2.928725,7.857717,-2.718208,6.629200,-2.852930,7.545329,-2.660522,7.482112,-2.686303,8.519302,-2.650182,7.944663,-2.587092,7.170668,-2.544570,7.674425,-2.577301,8.058338,-2.561186,8.117715,-2.420194,7.502883,-2.503016,8.496484,-2.444171,8.542845,-2.319778,8.357450,-2.254417,7.319876,-2.271913,8.934463,-2.248118,8.198966,-2.213074,-21.509365
0.200000,0.000000,12.242829,-1.702626,12.198619,-1.971180,11.593809,-1.961822,12.194656,-2.059688,12.158741,-2.242575,12.036542,-2.224124,11.841133,-2.351092,11.309337,-2.384465,11.378261,-2.402740,12.905791,-2.641532,10.767144,-2.893577,11.765583,-2.814332,13.966553,-3.009870,12.707836,3.141098,12.160866,-3.094638,13.326575,-3.056479,13.254666,3.084448,12.827190,3.011563,12.272732,2.906667,13.070177,2.569551,13.203769,2.639096,12.231076,2.418515,14.119227,2.493138,13.262213,2.371029,13.412470,2.311016,12.983864,2.287948,13.260715,2.057151,13.864490,2.145320,12.856806,2.067478,13.438256,1.861870,13.281713,1.610662,13.618292,1.697441,-25.801634
0.300000,0.000000,9.895746,2.763990,7.996636,2.776641,8.319285,2.660846,9.435361,2.874648,10.225543,3.039666,9.488551,2.977061,8.258863,2.830309,8.086286,3.108520,8.523898,3.001219,7.698598,3.006250,8.143245,3.020349,9.883619,3.053715,9.049196,3.116729,8.813231,3.097652,8.061621,3.033712,9.221108,-3.058766,9.037169,-2.869805,8.535079,-2.924929,7.888930,-2.828666,8.177100,-3.051715,9.015198,-2.778848,7.433663,-2.856284,9.537875,-2.801674,7.746304,-2.647319,8.016181,-2.658829,7.484097,-2.574628,8.852676,-2.578675,8.315896,-2.510169,9.128136,-2.629571,8.698603,-2.454554,9.467108,-2.554707,8.888799,-2.554502,-22.387135
0.401000,0.000000,8.824694,2.883227,10.006156,3.044034,8.690037,3.005181,8.112422,3.015114,8.350272,2.917790,7.806449,3.010878,8.139174,3.072214,8.190844,-3.125792,7.784834,-3.083676,7.804737,-3.026449,7.678328,-3.092283,7.665391,-3.022193,7.366150,-2.918953,8.081039,-2.992156,7.384411,-2.862268,7.610684,-2.688500,8.020710,-2.907548,7.504140,-2.700219,7.343965,-2.682110,8.902497,-2.784080,8.754903,-2.697390,7.920265,-2.700840,9.585882,-2.611833,9.463852,-2.600488,7.966675,-2.436486,8.733405,-2.530725,8.598469,-2.442264,8.119073,-2.449430,7.313015,-2.408537,8.835618,-2.350224,8.051669,-2.394324,8.559201,-2.176083,-22.160461
0.501000,0.000000,13.295421,2.776801,13.820358,2.757199,13.633466,2.794818,15.203301,2.819028,13.513548,3.006210,13.254745,2.978166,13.348555,2.971200,11.675090,3.005358,12.727736,3.002276,12.336916,3.068369,12.385424,3.095194,14.818158,3.077943,13.231823,3.047680,12.183824,3.108314,12.328502,-3.035960,11.929706,-3.080871,14.005661,-2.832765,14.388631,-2.898966,13.153571,-2.835198,13.764132,-2.770823,12.312740,-2.822729,12.711075,-2.922256,13.359658,-2.793084,12.825766,-2.763906,13.932566,-2.840383,13.534590,-2.783410,13.784864,-2.558357,12.166374,-2.632443,13.467560,-2.469305,14.181706,-2.574717,14.937754,-2.580222,13.675808,-2.562435,-26.208527
0.601000,0.000000,12.430470,2.305868,12.191634,2.567693,12.054051,2.452270,14.075821,2.592507,12.170502,2.687021,12.881920,2.708749,11.445776,2.913755,11.911087,2.852551,14.765048,2.761788,12.679760,2.897128,10.282183,2.790980,14.248852,2.547673,10.505885,3.028478,11.571964,2.967035,12.616527,-3.088149,11.975728,2.941303,11.708049,3.036222,13.931049,3.088950,10.173815,-3.134944,11.754560,3.067707,9.431287,-3.059292,11.269399,-3.072389,12.816005,-2.942242,12.350037,-2.863143,11.759670,-2.908330,13.024474,-2.958472,11.694146,-2.659015,11.483814,-2.934549,13.807171,-2.861285,11.046955,-2.774256,12.846099,-2.992456,15.479758,-2.542766,-25.278009
0.702000,0.000000,9.818047,2.717399,9.883302,2.740945,9.507522,2.768085,9.434153,2.790694,9.397829,2.674543,9.447656,2.847550,8.826497,2.785677,8.841802,2.962664,7.923771,3.086616,8.286901,-3.067408,8.673054,2.873098,6.985472,3.089309,9.323939,2.988460,8.609972,-3.131278,7.974228,-3.121114,9.630811,3.116191,8.581381,-3.046394,8.156665,-3.088081,7.443840,-2.795686,9.378719,-3.054236,7.982997,-2.921594,8.616973,-2.914702,9.607243,-2.885305,9.083761,-2.880400,8.826412,-2.914912,9.530214,-2.795145,9.480171,-2.588854,8.225985,-2.630538,8.296972,-2.750412,9.388728,-2.688881,9.635833,-2.769144,10.459620,-2.471924,-22.589908
0.803000,0.000000,8.850617,2.722177,9.224619,2.873288,10.120334,2.922129,7.804218,2.873303,8.251509,2.976067,7.527027,2.977524,8.413874,2.777487,7.479708,2.970174,7.515403,3.115149,7.714223,3.088390,8.180378,2.865680,7.813177,3.024904,5.957546,-3.062028,7.574682,-3.065055,7.589596,-3.084874,6.123109,-2.984779,8.675108,-2.873839,6.817503,-2.954366,8.175918,-2.842181,6.383868,-2.914297,7.507548,-2.778908,7.289688,-2.671596,7.789719,-2.749756,7.756137,-2.769045,8.273716,-2.589054,9.559908,-2.798101,7.962726,-2.540322,7.610822,-2.336145,9.026365,-2.420706,7.308501,-2.478344,8.715764,-2.523692,9.000831,-2.644384,-21.604433
0.903000,0.000000,7.494168,2.873103,8.304313,2.948748,8.700135,2.910553,8.618819,2.961051,8.271923,3.040098,8.084371,3.051606,7.924327,-2.951818,7.814468,3.073757,8.357745,3.102792,9.226964,3.034597,8.326209,3.013730,8.087301,-3.097540,7.705473,-2.955669,8.287056,-2.989470,7.791967,-2.816325,8.968492,-3.006975,7.669930,-2.647000,7.931851,-2.905253,7.450769,-2.974423,8.133960,-2.718092,6.249445,-2.694918,8.620628,-2.810049,9.193204,-2.711416,8.670147,-2.569282,6.969995,-2.547131,6.847470,-2.431069,9.187194,-2.483085,8.050369,-2.468550,10.148828,-2.438885,8.255714,-2.455063,8.698481,-2.315111,10.761274,-2.522205,-21.775198
1.003000,0.000000,8.646909,2.644310,7.667493,2.964886,9.911365,2.868856,7.672069,2.940118,7.721292,3.051462,6.987709,3.093445,8.095591,3.068488,7.747745,3.008919,7.429467,-3.140094,8.190181,-2.883738,7.350849,-3.110252,7.210609,-3.043731,8.982755,-2.846554,8.351082,-2.994478,8.764111,-2.888610,8.631787,-2.888309,7.442844,-2.910888,7.333452,-2.878964,6.901949,-2.893388,8.407183,-2.803026,8.282431,-2.719031,8.064214,-2.537460,8.909356,-2.543477,7.839166,-2.678720,8.130486,-2.557628,8.063574,-2.629889,7.972805,-2.619095,8.072713,-2.604694,7.670878,-2.517219,8.207687,-2.457372,7.679950,-2.372820,8.171627,-2.353989,-21.802862
